entry,max_adverse_move,max_favorable_move,outcome,realized_rr,risk_reward,signal,status,stop_loss,time,tp1,tp2,tp3
2361.3704,0.0592,1.6448,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2362.0589,2026-06-13T01:55:58.366525+00:00,2360.6819,2359.9934,2359.6492
2361.1238,0.0561,1.7239,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2361.8525,2026-06-13T02:00:58.366525+00:00,2360.3951,2359.6663,2359.3019
2360.8444,0.0588,1.7883,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2361.6125,2026-06-13T02:05:58.366525+00:00,2360.0763,2359.3081,2358.9241
2360.5162,0.0844,1.8211,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2361.3184,2026-06-13T02:10:58.366525+00:00,2359.7139,2358.9117,2358.5106
2360.2228,0.0532,1.9047,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2361.0539,2026-06-13T02:15:58.366525+00:00,2359.3917,2358.5606,2358.145
2360.0426,0.0,1.7245,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2360.8978,2026-06-13T02:20:58.366525+00:00,2359.1874,2358.3322,2357.9046
2359.5683,0.1269,2.0464,TP2_HIT,1.9999,2.0,SELL,BLOCKED_BY_RISK,2360.4511,2026-06-13T02:25:58.366525+00:00,2358.6856,2357.8028,2357.3614
2359.209,0.1619,2.1035,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2360.1181,2026-06-13T02:30:58.366525+00:00,2358.2998,2357.3907,2356.9362
2358.8301,0.1946,2.151,TP2_HIT,1.9999,2.0,SELL,BLOCKED_BY_RISK,2359.7644,2026-06-13T02:35:58.366525+00:00,2357.8958,2356.9616,2356.4944
2358.4329,0.2246,2.1885,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2359.3911,2026-06-13T02:40:58.366525+00:00,2357.4747,2356.5165,2356.0373
2358.019,0.2512,2.2159,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2359.0,2026-06-13T02:45:58.366525+00:00,2357.038,2356.0569,2355.5664
2357.5901,0.2738,2.2353,TP2_HIT,1.9999,2.0,SELL,BLOCKED_BY_RISK,2358.5928,2026-06-13T02:50:58.366525+00:00,2356.5875,2355.5848,2355.0835
2357.1481,0.2919,2.2977,TP2_HIT,2.0002,2.0,SELL,BLOCKED_BY_RISK,2358.1711,2026-06-13T02:55:58.366525+00:00,2356.125,2355.1019,2354.5904
2356.6948,0.3054,2.3489,TP2_HIT,2.0002,2.0,SELL,BLOCKED_BY_RISK,2357.7369,2026-06-13T03:00:58.366525+00:00,2355.6526,2354.6104,2354.0893
